frame,accepted,selected
0,7,30
1,11,29
2,11,29
3,17,28
4,6,29
5,13,28
6,12,28
7,10,28
8,10,27
9,11,29
10,13,29
11,12,29
12,14,27
13,11,29
14,13,30
15,16,30
16,10,30
17,20,28
18,10,29
19,20,29
20,11,29
21,19,28
22,16,29
23,14,29
24,16,29
25,16,29
26,19,29
27,17,29
28,15,29
29,14,29
30,18,29
31,21,28
32,20,29
33,12,29
34,13,29
35,11,29
36,16,28
37,13,29
38,13,29
39,22,29
40,12,29
41,16,28
42,21,28
43,9,28
44,13,28
45,18,27
46,9,28
47,16,28
48,16,28
49,14,28
50,11,28
51,21,28
52,10,28
53,15,28
54,13,28
55,10,28
56,10,27
57,17,28
58,26,28
59,16,28
60,19,28
61,16,27
62,17,28
63,15,28
64,11,28
65,22,28
66,15,27
67,20,28
68,15,28
69,20,28
70,15,28
71,18,27
72,17,28
73,16,28
74,20,28
75,22,28
76,15,27
77,14,28
78,19,28
79,13,28
80,12,27
81,13,28
82,19,28
83,15,28
84,17,29
85,20,28
86,15,28
87,18,28
88,14,28
89,13,29
90,15,27
91,15,28
92,14,28
93,14,28
94,16,27
95,18,28
96,15,28
97,11,28
98,8,28
99,12,28
100,9,28
101,13,28
102,14,28
103,13,29
104,12,28
105,19,28
106,11,29
107,20,29
108,12,29
109,13,29
110,17,29
111,17,28
112,10,29
113,12,29
114,14,27
115,8,28
116,11,28
117,14,28
118,20,29
119,12,29
120,21,28
121,14,29
122,11,29
123,15,29
124,20,29
125,18,28
126,13,29
127,13,29
128,15,29
129,16,29
130,11,27
131,16,28
132,23,28
133,14,28
134,14,28
135,15,29
136,16,27
137,15,28
138,9,29
139,16,29
140,14,28
141,17,27
142,10,28
143,11,28
144,18,28
145,14,28
146,6,27
147,16,28
148,14,28
149,13,28
150,10,28
151,17,28
152,11,27
153,17,28
154,24,28
155,14,28
156,14,28
157,20,27
158,24,28
159,17,28
160,15,28
161,16,29
162,19,28
163,18,29
164,18,28
165,17,29
166,14,28
167,25,28
168,8,29
169,19,28
170,23,28
171,2,28
172,16,28
173,14,28
174,15,29
175,18,28
176,14,28
177,13,28
178,22,28
179,10,28
180,17,27
181,8,29
182,13,29
183,14,28
184,11,29
185,14,28
186,10,29
187,16,28
188,15,28
189,14,28
190,20,28
191,18,27
192,17,29
193,12,29
194,13,28
195,18,28
196,14,27
197,12,29
198,17,28
199,14,28
